id,c_claveunidad,nombre
catalogos_clave_unidad1,18,Tambor de cincuenta y cinco galones (EUA)
catalogos_clave_unidad2,19,Camión cisterna
catalogos_clave_unidad3,26,Tonelada real
catalogos_clave_unidad4,29,Libra por mil pies cuadrados
catalogos_clave_unidad5,30,Día de potencia de caballos por tonelada métrica de aire seco
catalogos_clave_unidad6,31,Pescar
catalogos_clave_unidad7,32,Kilogramo por tonelada métrica seca del aire
catalogos_clave_unidad8,36,Pie cúbico por minuto por pie cuadrado
catalogos_clave_unidad9,44,Bolsa a granel de quinientos kilos
catalogos_clave_unidad10,45,Bolsa a granel de trescientos kilos
catalogos_clave_unidad11,46,Bolsa a granel de cincuenta libras
catalogos_clave_unidad12,47,Bolso de cincuenta libras
catalogos_clave_unidad13,48,Carga masiva
catalogos_clave_unidad14,53,Kilogramo teórico
catalogos_clave_unidad15,54,Tonelada teórica (UK)
catalogos_clave_unidad16,62,Por ciento por 1000 horas
catalogos_clave_unidad17,63,Tasa de fracaso en el tiempo
catalogos_clave_unidad18,64,"Libra por pulgada cuadrada, calíbre"
catalogos_clave_unidad19,66,Oersted
catalogos_clave_unidad20,69,Escala específica de prueba
catalogos_clave_unidad21,71,Voltios amperios por libra
catalogos_clave_unidad22,72,Vatio por libra
catalogos_clave_unidad23,73,Amperios por centímetro
catalogos_clave_unidad24,76,Gauss
catalogos_clave_unidad25,77,Kilogauss
catalogos_clave_unidad26,84,Kilopound-force por pulgada cuadrada
catalogos_clave_unidad27,90,Saybold segundo universal
catalogos_clave_unidad28,92,Calorías por centímetro cúbico
catalogos_clave_unidad29,93,Calorías por gramo
catalogos_clave_unidad30,94,Unidad de curl
catalogos_clave_unidad31,95,Veinte mil galones
catalogos_clave_unidad32,96,Diez mil galones (US)
catalogos_clave_unidad33,97,Diez kilos de tambor
catalogos_clave_unidad34,98,Quince kilos de tambor
catalogos_clave_unidad35,5,Ascensor
catalogos_clave_unidad36,6,Pequeño aerosol
catalogos_clave_unidad37,8,Montón de calor
catalogos_clave_unidad38,10,Grupos
catalogos_clave_unidad39,11,Equipos
catalogos_clave_unidad40,13,Raciones
catalogos_clave_unidad41,14,Shot
catalogos_clave_unidad42,15,"Palo, medida militar."
