id,c_claveprodserv,descripcion
catalogos.claveprodserv1,01010101,No existe en el catálogo
catalogos.claveprodserv2,10101500,Animales vivos de granja
catalogos.claveprodserv3,10101501,Gatos vivos
catalogos.claveprodserv4,10101502,Perros
catalogos.claveprodserv5,10101504,Visón
catalogos.claveprodserv6,10101505,Ratas
catalogos.claveprodserv7,10101506,Caballos
catalogos.claveprodserv8,10101507,Ovejas
catalogos.claveprodserv9,10101508,Cabras
catalogos.claveprodserv10,10101509,Asnos
catalogos.claveprodserv11,10101510,Ratones
catalogos.claveprodserv12,10101511,Cerdos
catalogos.claveprodserv13,10101512,Conejos
catalogos.claveprodserv14,10101513,Cobayas o conejillos de indias
catalogos.claveprodserv15,10101514,Primates
catalogos.claveprodserv16,10101515,Armadillos
catalogos.claveprodserv17,10101516,Ganado vacuno
catalogos.claveprodserv18,10101517,Camellos
catalogos.claveprodserv19,10101600,Pájaros y aves de corral vivos
catalogos.claveprodserv20,10101601,Pollos vivos
catalogos.claveprodserv21,10101602,Patos vivos
catalogos.claveprodserv22,10101603,Pavos vivos
catalogos.claveprodserv23,10101604,Gansos vivos
catalogos.claveprodserv24,10101605,Faisanes vivos
catalogos.claveprodserv25,10101700,Peces vivos
catalogos.claveprodserv26,10101701,Salmones vivos
catalogos.claveprodserv27,10101702,Trucha viva
catalogos.claveprodserv28,10101703,Tilapia viva
catalogos.claveprodserv29,10101704,Carpa viva
catalogos.claveprodserv30,10101705,Anguilas vivas
catalogos.claveprodserv31,10101800,Mariscos e invertebrados acuáticos vivos
catalogos.claveprodserv32,10101801,Camarón vivo
catalogos.claveprodserv33,10101802,Almejas vivas
catalogos.claveprodserv34,10101803,Mejillones vivos
catalogos.claveprodserv35,10101804,Ostras vivas
catalogos.claveprodserv36,10101805,Cangrejos vivos
catalogos.claveprodserv37,10101806,Abulones vivos
catalogos.claveprodserv38,10101807,Pulpo vivo
catalogos.claveprodserv39,10101808,Calamar vivo
catalogos.claveprodserv40,10101809,Sanguijuelas
catalogos.claveprodserv41,10101900,Insectos vivos
catalogos.claveprodserv42,10101901,Mariposas
catalogos.claveprodserv43,10101902,Escarabajos
catalogos.claveprodserv44,10101903,Abejas
catalogos.claveprodserv45,10101904,Gusanos de seda
catalogos.claveprodserv46,10102000,Animales salvajes vivos
catalogos.claveprodserv47,10102001,Elefantes
