id,c_colonia,c_codigopostal,descripcion
catalogo_colonias1,0001,01000,San Ángel
catalogo_colonias2,0001,16514,Tetitla la Gallera
catalogo_colonias3,0001,20000,Zona Centro
catalogo_colonias4,0001,20339,San José (San José de los Rodríguez)
catalogo_colonias5,0001,20406,Rinconada de las Piedras
catalogo_colonias6,0001,20656,Carboneras
catalogo_colonias7,0001,20680,Las Ánimas
catalogo_colonias8,0001,20700,Guadalupe
catalogo_colonias9,0001,20854,Parque Industrial Calvillo
catalogo_colonias10,0001,20926,Rincón del Pilar
catalogo_colonias11,0001,21000,Centro Cívico
catalogo_colonias12,0001,21453,Piedra Angular
catalogo_colonias13,0001,22126,Cañón Palmas
catalogo_colonias14,0001,22706,Colinas de Mazatlán
catalogo_colonias15,0001,22785,Siena Residencial
catalogo_colonias16,0001,23000,Zona Central
catalogo_colonias17,0001,23462,Leonardo Gastélum Quinta Etapa
catalogo_colonias18,0001,23620,Vargas
catalogo_colonias19,0001,24000,San Francisco de Campeche Centro
catalogo_colonias20,0001,24153,Residencial Las Palmas
catalogo_colonias21,0001,24207,Cronos
catalogo_colonias22,0001,24344,Tres de Mayo Tres
catalogo_colonias23,0001,24353,Miguel Hidalgo (Caracol)
catalogo_colonias24,0001,24640,Bellavista
catalogo_colonias25,0001,24933,Los Tres Reyes
catalogo_colonias26,0001,25000,Saltillo Zona Centro
catalogo_colonias27,0001,25352,Autopista
catalogo_colonias28,0001,25743,Las Misiones
catalogo_colonias29,0001,25903,Rincón del Valle
catalogo_colonias30,0001,26015,Los Laureles
catalogo_colonias31,0001,26174,El Manantial
catalogo_colonias32,0001,26234,Veracruz
catalogo_colonias33,0001,26350,Armando Guadiana Tijerina
catalogo_colonias34,0001,26510,Álvaro Luna
catalogo_colonias35,0001,26729,La Capilla
catalogo_colonias36,0001,26820,Mina Siete
catalogo_colonias37,0001,27087,Quintas los Nogales
catalogo_colonias38,0001,27448,Ladrillera
catalogo_colonias39,0001,27545,Chula Vista
catalogo_colonias40,0001,27905,Residencial Paraíso
catalogo_colonias41,0001,27987,Rogelio Montemayor
catalogo_colonias42,0001,28000,Colima Centro
catalogo_colonias43,0001,28134,San Ignacio
catalogo_colonias44,0001,28307,Hacienda las Primaveras
catalogo_colonias45,0001,28400,Valle de las Huertas
catalogo_colonias46,0001,28507,Valle Real
catalogo_colonias47,0001,28700,Los Gobernadores
catalogo_colonias48,0001,28750,27 de Octubre
catalogo_colonias49,0001,28864,Almendros Residencial II
catalogo_colonias50,0001,28978,Residencial Bosque Real
catalogo_colonias51,0001,29000,Tuxtla Gutiérrez Centro
catalogo_colonias52,0001,29127,El Carmelo
catalogo_colonias53,0001,29130,Lomas del Pedregal
catalogo_colonias54,0001,29148,Salvador Urbina
catalogo_colonias55,0001,29150,Nandayalu
catalogo_colonias56,0001,29180,Cabeza de Agua (San Antonio)
catalogo_colonias57,0001,29300,Las Palmas Huitepec 3a. Sección
catalogo_colonias58,0001,29326,Pajaltón Bajo
catalogo_colonias59,0001,29345,Nuevo Porvenir
catalogo_colonias60,0001,29369,Chiquinivalvo
catalogo_colonias61,0001,29405,Laguna del Carmen
catalogo_colonias62,0001,29416,Benito Juárez
catalogo_colonias63,0001,29439,San Caralampio Chavín
catalogo_colonias64,0001,29446,La Mendoza
catalogo_colonias65,0001,29454,El Tzay
catalogo_colonias66,0001,29474,San Pedro la Tejería
catalogo_colonias67,0001,29489,Chuljá
catalogo_colonias68,0001,29490,Xoctón (Xoctoctic)
catalogo_colonias69,0001,29500,Nueva Esperanza
catalogo_colonias70,0001,29540,Nuevo Sunuapa
catalogo_colonias71,0001,29553,Playa de Piedra 2da. Sección
catalogo_colonias72,0001,29560,Rivera el Viejo Carmen
catalogo_colonias73,0001,29572,Loma de Caballo 2a. Sección
catalogo_colonias74,0001,29586,Álvaro Obregón
catalogo_colonias75,0001,29596,Nuevo Poblado Llanos Morelos
catalogo_colonias76,0001,29610,El Edén
catalogo_colonias77,0001,29620,San Francisco
catalogo_colonias78,0001,29660,San Juan
catalogo_colonias79,0001,29670,Magdalena
catalogo_colonias80,0001,29684,San José Plan Ocotal
catalogo_colonias81,0001,29706,Miguel Hidalgo
catalogo_colonias82,0001,29710,Arroyo Sabinal
catalogo_colonias83,0001,29729,Monte Chico
catalogo_colonias84,0001,29744,La Unión Nueva
catalogo_colonias85,0001,29753,Santa Rita
catalogo_colonias86,0001,29760,Xitoltepeque
catalogo_colonias87,0001,29770,Guadalupe I
catalogo_colonias88,0001,29795,San José Chacté
catalogo_colonias89,0001,29816,Jesús Carranza
catalogo_colonias90,0001,29840,San Isidro
catalogo_colonias91,0001,29853,Jolik-alum
catalogo_colonias92,0001,29863,Meonho
catalogo_colonias93,0001,29876,Canolal
catalogo_colonias94,0001,29884,Las Limas
catalogo_colonias95,0001,29890,Don Pedro
catalogo_colonias96,0001,29903,Arroyo Palenque
catalogo_colonias97,0001,29917,Esperanza Ocotal
catalogo_colonias98,0001,29920,Santa Bárbara
catalogo_colonias99,0001,29926,San Vicente
catalogo_colonias100,0001,29943,San Miguel Catarraya
catalogo_colonias101,0001,29954,Ramón F. Balboa
catalogo_colonias102,0001,29962,El Retiro
catalogo_colonias103,0001,29974,Benito Juárez Centro
catalogo_colonias104,0001,29990,Boca del Río Chico
catalogo_colonias105,0001,30078,Corrala
catalogo_colonias106,0001,30115,Doctor Manuel Velasco Suárez
catalogo_colonias107,0001,30129,El Raizal
catalogo_colonias108,0001,30150,Las Champas
catalogo_colonias109,0001,30166,Francisco Villa
catalogo_colonias110,0001,30170,San Fermín
catalogo_colonias111,0001,30223,Sagrado Corazón
catalogo_colonias112,0001,30232,Jerusalén
catalogo_colonias113,0001,30357,Zacualpa
catalogo_colonias114,0001,30362,El Altillo
