id,clave_identificacion,descripcion,clave_transporte
catalogos_estaciones1,PM001 ,Rosarito,02
catalogos_estaciones2,PM002,La Misión,02
catalogos_estaciones3,PM003,El Sauzal,02
catalogos_estaciones4,PM004,Marina Coral,02
catalogos_estaciones5,PM005,Ensenada,02
catalogos_estaciones6,PM006,Punta China,02
catalogos_estaciones7,PM007,San Quintín,02
catalogos_estaciones8,PM008,Isla Cedros,02
catalogos_estaciones9,PM009,Venustiano Carranza,02
catalogos_estaciones10,PM010,Bahía de los Ángeles,02
catalogos_estaciones11,PM011,Puertecitos,02
catalogos_estaciones12,PM012,San Felipe,02
catalogos_estaciones13,PM013,Costa Azul,02
catalogos_estaciones14,PM014,Bahía Colonet,02
catalogos_estaciones15,PM015,La Paz,02
catalogos_estaciones16,PM016,Pichilingue,02
catalogos_estaciones17,PM017,Puerto de Loreto,02
catalogos_estaciones18,PM018,Puerto de Santa Rosalía,02
catalogos_estaciones19,PM019,Puerto Escondido,02
catalogos_estaciones20,PM020,San Carlos,02
catalogos_estaciones21,PM021,Cabo San Lucas,02
catalogos_estaciones22,PM022,Guerrero Negro,02
catalogos_estaciones23,PM023,Santa María,02
catalogos_estaciones24,PM024,Isla San Marcos,02
catalogos_estaciones25,PM025,Adolfo López Mateos,02
catalogos_estaciones26,PM026,San Juan de la Costa,02
catalogos_estaciones27,PM027,Punta prieta,02
catalogos_estaciones28,PM028,San José del Cabo,02
catalogos_estaciones29,PM029,Los Barriles,02
catalogos_estaciones30,PM030,Mulege,02
catalogos_estaciones31,PM031,Isla del Carmen,02
catalogos_estaciones32,PM032,Campeche,02
catalogos_estaciones33,PM033,Cayo Arcas,02
catalogos_estaciones34,PM034,Seybaplaya,02
catalogos_estaciones35,PM035,Isla Arena,02
catalogos_estaciones36,PM036,San Francisco,02
catalogos_estaciones37,PM037,Lerma,02
catalogos_estaciones38,PM038,Champotón,02
catalogos_estaciones39,PM039,Sabancuy,02
catalogos_estaciones40,PM040,Isla Aguada,02
catalogos_estaciones41,PM041,Emiliano Zapata,02
catalogos_estaciones42,PM042,Nuevo Campechito,02
catalogos_estaciones43,PM043,Takuntah,02
catalogos_estaciones44,PM044,Yúum K'ak Naab,02
catalogos_estaciones45,PM045,Puerto Chiapas,02
catalogos_estaciones46,PM046,Manzanillo,02
catalogos_estaciones47,PM047,San Pedrito,02
catalogos_estaciones48,PM048,Laguna de Cuyutlán,02
catalogos_estaciones49,PM049,Acapulco,02
catalogos_estaciones50,PM050,Zihuatanejo,02
catalogos_estaciones51,PM051,Butaba,02
catalogos_estaciones52,PM052,Vicente Guerrero,02
catalogos_estaciones53,PM053,Puerto Marqués,02
catalogos_estaciones54,PM054,Puerto Vallarta,02
catalogos_estaciones55,PM055,Barra de Navidad,02
catalogos_estaciones56,PM056,Lázaro Cárdenas,02
