"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria1","0101290200","Sin pedigree, para reproducción."
"catalogos_fraccionarancelaria2","0101290300","Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal."
"catalogos_fraccionarancelaria3","0101299901","Para saltos o carreras."
"catalogos_fraccionarancelaria4","0101299999","Los demás."
"catalogos_fraccionarancelaria5","0101300100","Asnos."
"catalogos_fraccionarancelaria6","0101909900","Los demás."
"catalogos_fraccionarancelaria7","0102210100","Reproductores de raza pura."
"catalogos_fraccionarancelaria8","0102290100","Vacas lecheras."
"catalogos_fraccionarancelaria9","0102290200","Con  pedigree  o  certificado  de  alto  registro,  excepto  lo  comprendido  en  la  fracción  arancelaria 0102.29.01."
"catalogos_fraccionarancelaria10","0102299900","Los demás."
"catalogos_fraccionarancelaria11","0102310100","Reproductores de raza pura."
"catalogos_fraccionarancelaria12","0102399900","Los demás."
"catalogos_fraccionarancelaria13","0102909900","Los demás."
"catalogos_fraccionarancelaria14","0103100100","Reproductores de raza pura."
"catalogos_fraccionarancelaria15","0103910100","Con pedigree o certificado de alto registro."
"catalogos_fraccionarancelaria16","0103919900","Los demás."
"catalogos_fraccionarancelaria17","0103920100","Con pedigree o certificado de alto registro."
"catalogos_fraccionarancelaria18","0103929900","Los demás."
"catalogos_fraccionarancelaria19","0104100100","Con pedigree o certificado de alto registro."
"catalogos_fraccionarancelaria20","0104109901","Para abasto."
"catalogos_fraccionarancelaria21","0104109999","Los demás."
"catalogos_fraccionarancelaria22","0104200100","Con pedigree o certificado de alto registro."
"catalogos_fraccionarancelaria23","0104200200","Borrego cimarrón."
"catalogos_fraccionarancelaria24","0104209900","Los demás."
"catalogos_fraccionarancelaria25","0105110301","Aves reproductoras de la línea de postura."
"catalogos_fraccionarancelaria26","0105110302","Aves reproductoras de la línea de engorda."
"catalogos_fraccionarancelaria27","0105110303","Aves progenitoras de la línea de engorda."
"catalogos_fraccionarancelaria28","0105110391","Las demás de postura."
"catalogos_fraccionarancelaria29","0105110392","Las demás de engorda."
"catalogos_fraccionarancelaria30","0105119900","Los demás."
"catalogos_fraccionarancelaria31","0105120100","Pavos (gallipavos)."
