id,c_localidad,c_estado,descripcion
catalogos_localidades1,01,AGU,Aguascalientes
catalogos_localidades2,01,BCN,Ensenada
catalogos_localidades3,01,BCS,Ciudad Constitución
catalogos_localidades4,01,CAM,San Francisco de Campeche
catalogos_localidades5,01,COA,Ciudad Acuña
catalogos_localidades6,01,COL,Colima
catalogos_localidades7,01,CHH,Santa Rosalía de Camargo
catalogos_localidades8,01,CHP,Comitán de Domínguez
catalogos_localidades9,01,DIF,Ciudad de México
catalogos_localidades10,01,DUR,Victoria de Durango
catalogos_localidades11,01,GRO,Acapulco de Juárez
catalogos_localidades12,01,GUA,Acámbaro
catalogos_localidades13,01,HID,Actopan
catalogos_localidades14,01,JAL,Ameca
catalogos_localidades15,01,MEX,Ciudad Adolfo López Mateos
catalogos_localidades16,01,MIC,Apatzingán de la Constitución
catalogos_localidades17,01,MOR,Cuautla (Cuautla de Morelos)
catalogos_localidades18,01,NAY,Santiago Ixcuintla
catalogos_localidades19,01,NLE,Ciudad Apodaca
catalogos_localidades20,01,OAX,Juchitán (Juchitán de Zaragoza)
catalogos_localidades21,01,PUE,Atlixco
catalogos_localidades22,01,QUE,Querétaro
catalogos_localidades23,01,ROO,Cancún
catalogos_localidades24,01,SIN,Los Mochis
catalogos_localidades25,01,SLP,Ciudad Valles
catalogos_localidades26,01,SON,San Luis Río Colorado
catalogos_localidades27,01,TAB,Cárdenas
catalogos_localidades28,01,TAM,Altamira
catalogos_localidades29,01,TLA,Apizaco
catalogos_localidades30,01,VER,Acayucan
catalogos_localidades31,01,YUC,Mérida
catalogos_localidades32,01,ZAC,Fresnillo
catalogos_localidades33,02,AGU,Calvillo
catalogos_localidades34,02,BCN,Mexicali
catalogos_localidades35,02,BCS,La Paz
catalogos_localidades36,02,CAM,Ciudad del Carmen
catalogos_localidades37,02,COA,Frontera
catalogos_localidades38,02,COL,Manzanillo
catalogos_localidades39,02,CHH,Chihuahua
catalogos_localidades40,02,CHP,San Cristóbal de las Casas
catalogos_localidades41,02,DIF,Ciudad de México
catalogos_localidades42,02,DUR,Gómez Palacio
catalogos_localidades43,02,GRO,Chilpancingo de los Bravo
catalogos_localidades44,02,GUA,San miguel de Allende
catalogos_localidades45,02,HID,Apan
catalogos_localidades46,02,JAL,Ciudad Guzmán
catalogos_localidades47,02,MEX,Chimalhuacán
catalogos_localidades48,02,MIC,Los Reyes de Salgado
catalogos_localidades49,02,MOR,Cuernavaca
catalogos_localidades50,02,NAY,Tepic
catalogos_localidades51,02,NLE,San Pedro Garza García
catalogos_localidades52,02,OAX,Oaxaca de Juárez
catalogos_localidades53,02,PUE,Izúcar de Matamoros
catalogos_localidades54,02,QUE,San Juan del Rio
catalogos_localidades55,02,ROO,Cozumel
catalogos_localidades56,02,SIN,Culiacán Rosales
catalogos_localidades57,02,SLP,Ébano
catalogos_localidades58,02,SON,Agua Prieta
catalogos_localidades59,02,TAB,Villahermosa
catalogos_localidades60,02,TAM,Ciudad Camargo
catalogos_localidades61,02,TLA,Villa Vicente Guerrero
catalogos_localidades62,02,VER,Naranjos
catalogos_localidades63,02,YUC,Tizimín
catalogos_localidades64,02,ZAC,Jerez de García Salinas
catalogos_localidades65,03,AGU,San Francisco de los Romo
catalogos_localidades66,03,BCN,Tecate
catalogos_localidades67,03,BCS,Cabo San Lucas
catalogos_localidades68,03,CAM,Calkini
catalogos_localidades69,03,COA,Matamoros
catalogos_localidades70,03,COL,Tecoman
catalogos_localidades71,03,CHH,Cuauhtémoc
catalogos_localidades72,03,CHP,Tapachula de Córdova y Ordóñez
catalogos_localidades73,03,DIF,Ciudad de México
catalogos_localidades74,03,DUR,Ciudad Lerdo
catalogos_localidades75,03,GRO,Iguala de la Independencia
catalogos_localidades76,03,GUA,Celaya
catalogos_localidades77,03,HID,Pachuca de Soto
catalogos_localidades78,03,JAL,Guadalajara
catalogos_localidades79,03,MEX,Coacalco de Berriozabal
catalogos_localidades80,03,MIC,Ciudad Hidalgo
catalogos_localidades81,03,MOR,Galeana
catalogos_localidades82,03,NAY,Tuxpan
catalogos_localidades83,03,NLE,Ciudad General Escobedo
catalogos_localidades84,03,OAX,Salina Cruz
catalogos_localidades85,03,PUE,Puebla (Heroica Puebla)
catalogos_localidades86,03,ROO,Felipe Carrillo Puerto
catalogos_localidades87,03,SIN,Escuinapa de Hidalgo
catalogos_localidades88,03,SLP,Matehuala
catalogos_localidades89,03,SON,Heroica Caborca
catalogos_localidades90,03,TAB,Comalcalco
catalogos_localidades91,03,TAM,Ciudad Madero
catalogos_localidades92,03,TLA,Tlaxcala (Tlaxcala de Xicotencatl)
catalogos_localidades93,03,VER,Boca del RÍo
catalogos_localidades94,03,YUC,Ticul
catalogos_localidades95,03,ZAC,Zacatecas
catalogos_localidades96,04,AGU,Jesús María
catalogos_localidades97,04,BCN,Tijuana
catalogos_localidades98,04,BCS,San José del Cabo
catalogos_localidades99,04,CAM,Candelaria
catalogos_localidades100,04,COA,Monclova
catalogos_localidades101,04,COL,Ciudad de Villa de Álvarez
catalogos_localidades102,04,CHH,Delicias
catalogos_localidades103,04,CHP,Tuxtla Gutiérrez
catalogos_localidades104,04,DIF,Ciudad de México
catalogos_localidades105,04,DUR,Santiago Papasquiaro
catalogos_localidades106,04,GRO,Taxco de Alarcón
catalogos_localidades107,04,GUA,Cortazar
catalogos_localidades108,04,HID,Cd. de Fray Bernardino de Sahagún
catalogos_localidades109,04,JAL,Lagos de Moreno
catalogos_localidades110,04,MEX,Cuautitlán Izcalli
catalogos_localidades111,04,MIC,Jacona de Plancarte
catalogos_localidades112,04,MOR,Jojutla
catalogos_localidades113,04,NAY,Acaponeta
catalogos_localidades114,04,NLE,Guadalupe
catalogos_localidades115,04,OAX,San Juan Bautista Tuxtepec
catalogos_localidades116,04,PUE,San Martín Texmelucan de Labastida
catalogos_localidades117,04,QUE,El Pueblito
catalogos_localidades118,04,ROO,Chetumal
catalogos_localidades119,04,SIN,Guasave
catalogos_localidades120,04,SLP,Rioverde
catalogos_localidades121,04,SON,Ciudad Obregón
catalogos_localidades122,04,TAB,Emiliano Zapata
catalogos_localidades123,04,TAM,Ciudad Mante
catalogos_localidades124,04,TLA,Huamantla
catalogos_localidades125,04,VER,Coatepec
catalogos_localidades126,04,YUC,Motul de Carrillo Puerto
catalogos_localidades127,04,ZAC,Guadalupe
catalogos_localidades128,05,AGU,Pabellón de Arteaga
catalogos_localidades129,05,BCN,Playas de Rosarito
catalogos_localidades130,05,BCS,Loreto
catalogos_localidades131,05,CAM,Escárcega
catalogos_localidades132,05,COA,Parras de la Fuente
catalogos_localidades133,05,COL,Ciudad de Armería
catalogos_localidades134,05,CHH,Hidalgo del Parral
catalogos_localidades135,05,CHP,Venustiano Carranza
catalogos_localidades136,05,DIF,Ciudad de México
catalogos_localidades137,05,DUR,Canatlán
catalogos_localidades138,05,GRO,Arcelia
catalogos_localidades139,05,GUA,Guanajuato
catalogos_localidades140,05,HID,Tula de Allende
catalogos_localidades141,05,JAL,Ocotlán
catalogos_localidades142,05,MEX,Ecatepec de Morelos
catalogos_localidades143,05,MIC,La piedad de Cabadas
catalogos_localidades144,05,MOR,Puente de Ixtla
catalogos_localidades145,05,NAY,Tecuala
catalogos_localidades146,05,NLE,Linares
catalogos_localidades147,05,OAX,Matías Romero Avendaño
catalogos_localidades148,05,PUE,Tehuacan
catalogos_localidades149,05,ROO,Playa del Carmen
catalogos_localidades150,05,SIN,Mazatlán
catalogos_localidades151,05,SLP,San Luis Potosí
catalogos_localidades152,05,SON,Empalme
catalogos_localidades153,05,TAB,Jalpa de Méndez
catalogos_localidades154,05,TAM,Heroica Matamoros
catalogos_localidades155,05,TLA,Calpulalpan
catalogos_localidades156,05,VER,Agua dulce
catalogos_localidades157,05,YUC,Valladolid
catalogos_localidades158,05,ZAC,Río Grande
catalogos_localidades159,06,AGU,Rincón de Romos
catalogos_localidades160,06,BCN,Rodolfo Sánchez T. (Maneadero)
catalogos_localidades161,06,BCS,Puerto Adolfo López Mateos
catalogos_localidades162,06,CAM,Sabancuy
catalogos_localidades163,06,COA,Piedras Negras
catalogos_localidades164,06,CHH,Juárez
catalogos_localidades165,06,CHP,Jiquipilas
catalogos_localidades166,06,DIF,Ciudad de México
catalogos_localidades167,06,DUR,San Juan del Río del Centauro del Norte
catalogos_localidades168,06,GRO,Ayutla de los Libres
catalogos_localidades169,06,GUA,Irapuato
catalogos_localidades170,06,HID,Tulancingo
catalogos_localidades171,06,JAL,Puerto Vallarta
catalogos_localidades172,06,MEX,Huixquilucan de Degollado
catalogos_localidades173,06,MIC,Morelia
catalogos_localidades174,06,MOR,Santa Rosa Treinta
catalogos_localidades175,06,NAY,Compostela
catalogos_localidades176,06,NLE,Montemorelos
catalogos_localidades177,06,OAX,Heroica Ciudad de Huajuapan de León
catalogos_localidades178,06,PUE,Teziutlan
catalogos_localidades179,06,ROO,Kantunilkín
catalogos_localidades180,06,SIN,Guamúchil
catalogos_localidades181,06,SLP,Soledad de Graciano Sánchez
catalogos_localidades182,06,SON,Heroica Guaymas
catalogos_localidades183,06,TAM,Nuevo Laredo
catalogos_localidades184,06,TLA,Chiautempan
catalogos_localidades185,06,VER,Coatzacoalcos
catalogos_localidades186,06,YUC,Kanasín
catalogos_localidades187,06,ZAC,Ciudad Cuauhtémoc
catalogos_localidades188,07,AGU,Asientos
catalogos_localidades189,07,BCN,San Felipe
catalogos_localidades190,07,BCS,Todos Santos
catalogos_localidades191,07,CAM,Hopelchén
catalogos_localidades192,07,COA,Sabinas
catalogos_localidades193,07,CHH,Nuevo Casas Grandes
catalogos_localidades194,07,CHP,Villaflores
catalogos_localidades195,07,DIF,Ciudad de México
catalogos_localidades196,07,DUR,Peñón Blanco
