id,c_municipio,c_estado,descripcion
catalogo_municipio1,001,AGU,Aguascalientes
catalogo_municipio2,001,BCN,Ensenada
catalogo_municipio3,001,BCS,Comondú
catalogo_municipio4,001,CAM,Calkiní
catalogo_municipio5,001,COA,Abasolo
catalogo_municipio6,001,COL,Armería
catalogo_municipio7,001,CHH,Ahumada
catalogo_municipio8,001,CHP,Acacoyagua
catalogo_municipio9,001,DUR,Canatlán
catalogo_municipio10,001,GRO,Acapulco de Juárez
catalogo_municipio11,001,GUA,Abasolo
catalogo_municipio12,001,HID,Acatlán
catalogo_municipio13,001,JAL,Acatic
catalogo_municipio14,001,MEX,Acambay de Ruíz Castañeda
catalogo_municipio15,001,MIC,Acuitzio
catalogo_municipio16,001,MOR,Amacuzac
catalogo_municipio17,001,NAY,Acaponeta
catalogo_municipio18,001,NLE,Abasolo
catalogo_municipio19,001,OAX,Abejones
catalogo_municipio20,001,PUE,Acajete
catalogo_municipio21,001,QUE,Amealco de Bonfil
catalogo_municipio22,001,ROO,Cozumel
catalogo_municipio23,001,SIN,Ahome
catalogo_municipio24,001,SLP,Ahualulco
catalogo_municipio25,001,SON,Aconchi
catalogo_municipio26,001,TAB,Balancán
catalogo_municipio27,001,TAM,Abasolo
catalogo_municipio28,001,TLA,Amaxac de Guerrero
catalogo_municipio29,001,VER,Acajete
catalogo_municipio30,001,YUC,Abalá
catalogo_municipio31,001,ZAC,Apozol
catalogo_municipio32,002,AGU,Asientos
catalogo_municipio33,002,BCN,Mexicali
catalogo_municipio34,002,BCS,Mulegé
catalogo_municipio35,002,CAM,Campeche
catalogo_municipio36,002,COA,Acuña
catalogo_municipio37,002,COL,Colima
catalogo_municipio38,002,CHH,Aldama
catalogo_municipio39,002,CHP,Acala
catalogo_municipio40,002,DIF,Azcapotzalco
catalogo_municipio41,002,DUR,Canelas
catalogo_municipio42,002,GRO,Ahuacuotzingo
catalogo_municipio43,002,GUA,Acámbaro
catalogo_municipio44,002,HID,Acaxochitlán
catalogo_municipio45,002,JAL,Acatlán de Juárez
catalogo_municipio46,002,MEX,Acolman
catalogo_municipio47,002,MIC,Aguililla
catalogo_municipio48,002,MOR,Atlatlahucan
catalogo_municipio49,002,NAY,Ahuacatlán
catalogo_municipio50,002,NLE,Agualeguas
catalogo_municipio51,002,OAX,Acatlán de Pérez Figueroa
catalogo_municipio52,002,PUE,Acateno
catalogo_municipio53,002,QUE,Pinal de Amoles
catalogo_municipio54,002,ROO,Felipe Carrillo Puerto
catalogo_municipio55,002,SIN,Angostura
catalogo_municipio56,002,SLP,Alaquines
catalogo_municipio57,002,SON,Agua Prieta
catalogo_municipio58,002,TAB,Cárdenas
catalogo_municipio59,002,TAM,Aldama
catalogo_municipio60,002,TLA,Apetatitlán de Antonio Carvajal
catalogo_municipio61,002,VER,Acatlán
catalogo_municipio62,002,YUC,Acanceh
catalogo_municipio63,002,ZAC,Apulco
catalogo_municipio64,003,AGU,Calvillo
catalogo_municipio65,003,BCN,Tecate
catalogo_municipio66,003,BCS,La Paz
catalogo_municipio67,003,CAM,Carmen
catalogo_municipio68,003,COA,Allende
catalogo_municipio69,003,COL,Comala
catalogo_municipio70,003,CHH,Allende
catalogo_municipio71,003,CHP,Acapetahua
catalogo_municipio72,003,DIF,Coyoacán
catalogo_municipio73,003,DUR,Coneto de Comonfort
catalogo_municipio74,003,GRO,Ajuchitlán del Progreso
catalogo_municipio75,003,GUA,San Miguel de Allende
catalogo_municipio76,003,HID,Actopan
catalogo_municipio77,003,JAL,Ahualulco de Mercado
catalogo_municipio78,003,MEX,Aculco
catalogo_municipio79,003,MIC,Álvaro Obregón
catalogo_municipio80,003,MOR,Axochiapan
catalogo_municipio81,003,NAY,Amatlán de Cañas
catalogo_municipio82,003,NLE,Los Aldamas
catalogo_municipio83,003,OAX,Asunción Cacalotepec
catalogo_municipio84,003,PUE,Acatlán
catalogo_municipio85,003,QUE,Arroyo Seco
catalogo_municipio86,003,ROO,Isla Mujeres
catalogo_municipio87,003,SIN,Badiraguato
catalogo_municipio88,003,SLP,Aquismón
catalogo_municipio89,003,SON,Alamos
catalogo_municipio90,003,TAB,Centla
catalogo_municipio91,003,TAM,Altamira
catalogo_municipio92,003,TLA,Atlangatepec
catalogo_municipio93,003,VER,Acayucan
catalogo_municipio94,003,YUC,Akil
catalogo_municipio95,003,ZAC,Atolinga
catalogo_municipio96,004,AGU,Cosío
catalogo_municipio97,004,BCN,Tijuana
catalogo_municipio98,004,CAM,Champotón
catalogo_municipio99,004,COA,Arteaga
catalogo_municipio100,004,COL,Coquimatlán
catalogo_municipio101,004,CHH,Aquiles Serdán
catalogo_municipio102,004,CHP,Altamirano
catalogo_municipio103,004,DIF,Cuajimalpa de Morelos
catalogo_municipio104,004,DUR,Cuencamé
catalogo_municipio105,004,GRO,Alcozauca de Guerrero
catalogo_municipio106,004,GUA,Apaseo el Alto
catalogo_municipio107,004,HID,Agua Blanca de Iturbide
catalogo_municipio108,004,JAL,Amacueca
catalogo_municipio109,004,MEX,Almoloya de Alquisiras
catalogo_municipio110,004,MIC,Angamacutiro
catalogo_municipio111,004,MOR,Ayala
catalogo_municipio112,004,NAY,Compostela
catalogo_municipio113,004,NLE,Allende
catalogo_municipio114,004,OAX,Asunción Cuyotepeji
catalogo_municipio115,004,PUE,Acatzingo
catalogo_municipio116,004,QUE,Cadereyta de Montes
catalogo_municipio117,004,ROO,Othón P. Blanco
catalogo_municipio118,004,SIN,Concordia
catalogo_municipio119,004,SLP,Armadillo de los Infante
catalogo_municipio120,004,SON,Altar
catalogo_municipio121,004,TAB,Centro
catalogo_municipio122,004,TAM,Antiguo Morelos
catalogo_municipio123,004,TLA,Atltzayanca
catalogo_municipio124,004,VER,Actopan
catalogo_municipio125,004,YUC,Baca
catalogo_municipio126,004,ZAC,Benito Juárez
catalogo_municipio127,005,AGU,Jesús María
catalogo_municipio128,005,BCN,Playas de Rosarito
catalogo_municipio129,005,CAM,Hecelchakán
catalogo_municipio130,005,COA,Candela
catalogo_municipio131,005,COL,Cuauhtémoc
catalogo_municipio132,005,CHH,Ascensión
catalogo_municipio133,005,CHP,Amatán
catalogo_municipio134,005,DIF,Gustavo A. Madero
catalogo_municipio135,005,DUR,Durango
catalogo_municipio136,005,GRO,Alpoyeca
catalogo_municipio137,005,GUA,Apaseo el Grande
catalogo_municipio138,005,HID,Ajacuba
catalogo_municipio139,005,JAL,Amatitán
catalogo_municipio140,005,MEX,Almoloya de Juárez
catalogo_municipio141,005,MIC,Angangueo
catalogo_municipio142,005,MOR,Coatlán del Río
catalogo_municipio143,005,NAY,Huajicori
catalogo_municipio144,005,NLE,Anáhuac
catalogo_municipio145,005,OAX,Asunción Ixtaltepec
catalogo_municipio146,005,PUE,Acteopan
catalogo_municipio147,005,QUE,Colón
catalogo_municipio148,005,ROO,Benito Juárez
catalogo_municipio149,005,SIN,Cosalá
catalogo_municipio150,005,SLP,Cárdenas
catalogo_municipio151,005,SON,Arivechi
catalogo_municipio152,005,TAB,Comalcalco
catalogo_municipio153,005,TAM,Burgos
catalogo_municipio154,005,TLA,Apizaco
catalogo_municipio155,005,VER,Acula
catalogo_municipio156,005,YUC,Bokobá
catalogo_municipio157,005,ZAC,Calera
catalogo_municipio158,006,AGU,Pabellón de Arteaga
catalogo_municipio159,006,CAM,Hopelchén
catalogo_municipio160,006,COA,Castaños
catalogo_municipio161,006,COL,Ixtlahuacán
catalogo_municipio162,006,CHH,Bachíniva
catalogo_municipio163,006,CHP,Amatenango de la Frontera
catalogo_municipio164,006,DIF,Iztacalco
catalogo_municipio165,006,DUR,General Simón Bolívar
catalogo_municipio166,006,GRO,Apaxtla
catalogo_municipio167,006,GUA,Atarjea
catalogo_municipio168,006,HID,Alfajayucan
catalogo_municipio169,006,JAL,Ameca
catalogo_municipio170,006,MEX,Almoloya del Río
catalogo_municipio171,006,MIC,Apatzingán
catalogo_municipio172,006,MOR,Cuautla
catalogo_municipio173,006,NAY,Ixtlán del Río
catalogo_municipio174,006,NLE,Apodaca
catalogo_municipio175,006,OAX,Asunción Nochixtlán
catalogo_municipio176,006,PUE,Ahuacatlán
catalogo_municipio177,006,QUE,Corregidora
catalogo_municipio178,006,ROO,José María Morelos
catalogo_municipio179,006,SIN,Culiacán
catalogo_municipio180,006,SLP,Catorce
catalogo_municipio181,006,SON,Arizpe
catalogo_municipio182,006,TAB,Cunduacán
catalogo_municipio183,006,TAM,Bustamante
catalogo_municipio184,006,TLA,Calpulalpan
catalogo_municipio185,006,VER,Acultzingo
catalogo_municipio186,006,YUC,Buctzotz
catalogo_municipio187,006,ZAC,Cañitas de Felipe Pescador
catalogo_municipio188,007,AGU,Rincón de Romos
catalogo_municipio189,007,CAM,Palizada
catalogo_municipio190,007,COA,Cuatro Ciénegas
catalogo_municipio191,007,COL,Manzanillo
catalogo_municipio192,007,CHH,Balleza
catalogo_municipio193,007,CHP,Amatenango del Valle
catalogo_municipio194,007,DIF,Iztapalapa
catalogo_municipio195,007,DUR,Gómez Palacio
catalogo_municipio196,007,GRO,Arcelia
catalogo_municipio197,007,GUA,Celaya
catalogo_municipio198,007,HID,Almoloya
catalogo_municipio199,007,JAL,San Juanito de Escobedo
