id,c_pais,descripcion,formato_cp,formato_rit,validacion_rit,agrupacion
catalogos_paises1,AFG,Afganistán,,,,
catalogos_paises2,ALA,Islas Åland,,,,
catalogos_paises3,ALB,Albania,,,,
catalogos_paises4,DEU,Alemania,,,,Unión Europea
catalogos_paises5,AND,Andorra,,,,
catalogos_paises6,AGO,Angola,,,,
catalogos_paises7,AIA,Anguila,,,,
catalogos_paises8,ATA,Antártida,,,,
catalogos_paises9,ATG,Antigua y Barbuda,,,,
catalogos_paises10,SAU,Arabia Saudita,,,,
catalogos_paises11,DZA,Argelia,,,,
catalogos_paises12,ARG,Argentina,,,,
catalogos_paises13,ARM,Armenia,,,,
catalogos_paises14,ABW,Aruba,,,,
catalogos_paises15,AUS,Australia,,,,
catalogos_paises16,AUT,Austria,,,,Unión Europea
catalogos_paises17,AZE,Azerbaiyán,,,,
catalogos_paises18,BHS,Bahamas (las),,,,
catalogos_paises19,BGD,Bangladés,,,,
catalogos_paises20,BRB,Barbados,,,,
catalogos_paises21,BHR,Baréin,,,,
catalogos_paises22,BEL,Bélgica,,,,Unión Europea
catalogos_paises23,BLZ,Belice,,,,
catalogos_paises24,BEN,Benín,,,,
catalogos_paises25,BMU,Bermudas,,,,
catalogos_paises26,BLR,Bielorrusia,,,,
catalogos_paises27,MMR,Myanmar,,,,
catalogos_paises28,BOL,"Bolivia, Estado Plurinacional de",,,,
catalogos_paises29,BIH,Bosnia y Herzegovina,,,,
catalogos_paises30,BWA,Botsuana,,,,
catalogos_paises31,BRA,Brasil,,,,
catalogos_paises32,BRN,Brunéi Darussalam,,,,
catalogos_paises33,BGR,Bulgaria,,,,Unión Europea
catalogos_paises34,BFA,Burkina Faso,,,,
catalogos_paises35,BDI,Burundi,,,,
catalogos_paises36,BTN,Bután,,,,
catalogos_paises37,CPV,Cabo Verde,,,,
catalogos_paises38,KHM,Camboya,,,,
catalogos_paises39,CMR,Camerún,,,,
catalogos_paises40,CAN,Canadá,[A-Z][0-9][A-Z] [0-9][A-Z][0-9],[0-9]{9},,TLCAN
catalogos_paises41,QAT,Catar,,,,
catalogos_paises42,BES,"Bonaire, San Eustaquio y Saba",,,,
catalogos_paises43,TCD,Chad,,,,
catalogos_paises44,CHL,Chile,,,,
catalogos_paises45,CHN,China,,,,
catalogos_paises46,CYP,Chipre,,,,Unión Europea
catalogos_paises47,COL,Colombia,,,,
catalogos_paises48,COM,Comoras,,,,
