id,clave,derecho_paso
catalogos_derecho_paso1,CDP001,D-1
catalogos_derecho_paso2,CDP002,D-1
catalogos_derecho_paso3,CDP003,DPL-1
catalogos_derecho_paso4,CDP004,DPL-1
catalogos_derecho_paso5,CDP005,DPL-2
catalogos_derecho_paso6,CDP006,DPL-2
catalogos_derecho_paso7,CDP007,IT-1
catalogos_derecho_paso8,CDP008,IT-2
catalogos_derecho_paso9,CDP009,IT-3
catalogos_derecho_paso10,CDP010,IT-4
catalogos_derecho_paso11,CDP011,IT-5
catalogos_derecho_paso12,CDP012,IT-6
catalogos_derecho_paso13,CDP013,IT-7
catalogos_derecho_paso14,CDP014,N-1
catalogos_derecho_paso15,CDP015,N-1
catalogos_derecho_paso16,CDP016,N-10
catalogos_derecho_paso17,CDP017,N-10
catalogos_derecho_paso18,CDP018,N-11
catalogos_derecho_paso19,CDP019,N-11
catalogos_derecho_paso20,CDP020,N-12
catalogos_derecho_paso21,CDP021,N-12
catalogos_derecho_paso22,CDP022,N-13
catalogos_derecho_paso23,CDP023,N-14
catalogos_derecho_paso24,CDP024,N-15
catalogos_derecho_paso25,CDP025,N-15
catalogos_derecho_paso26,CDP026,N-17
catalogos_derecho_paso27,CDP027,N-17
catalogos_derecho_paso28,CDP028,N-18
catalogos_derecho_paso29,CDP029,N-18
catalogos_derecho_paso30,CDP030,N-2
catalogos_derecho_paso31,CDP031,N-2
catalogos_derecho_paso32,CDP032,N-20
catalogos_derecho_paso33,CDP033,N-3
catalogos_derecho_paso34,CDP034,N-3
catalogos_derecho_paso35,CDP035,N-4
catalogos_derecho_paso36,CDP036,N-4
catalogos_derecho_paso37,CDP037,N-5
catalogos_derecho_paso38,CDP038,N-5
catalogos_derecho_paso39,CDP039,N-6
catalogos_derecho_paso40,CDP040,N-6
catalogos_derecho_paso41,CDP041,N-6
catalogos_derecho_paso42,CDP042,N-7
catalogos_derecho_paso43,CDP043,N-7
catalogos_derecho_paso44,CDP044,N-8
catalogos_derecho_paso45,CDP045,N-8
catalogos_derecho_paso46,CDP046,N-9
catalogos_derecho_paso47,CDP047,N-9
catalogos_derecho_paso48,CDP048,PN-1
catalogos_derecho_paso49,CDP049,PN-10
catalogos_derecho_paso50,CDP050,PN-10
catalogos_derecho_paso51,CDP051,PN-11
catalogos_derecho_paso52,CDP052,PN-11
catalogos_derecho_paso53,CDP053,PN-12
catalogos_derecho_paso54,CDP054,PN-12
catalogos_derecho_paso55,CDP055,PN-13
catalogos_derecho_paso56,CDP056,PN-13
catalogos_derecho_paso57,CDP057,PN-14
catalogos_derecho_paso58,CDP058,PN-14
catalogos_derecho_paso59,CDP059,PN-15
catalogos_derecho_paso60,CDP060,PN-15
catalogos_derecho_paso61,CDP061,PN-17
catalogos_derecho_paso62,CDP062,PN-17
catalogos_derecho_paso63,CDP063,PN-2
catalogos_derecho_paso64,CDP064,PN-5
catalogos_derecho_paso65,CDP065,PN-7
catalogos_derecho_paso66,CDP066,PN-7
catalogos_derecho_paso67,CDP067,PN-8
catalogos_derecho_paso68,CDP068,PN-8
catalogos_derecho_paso69,CDP069,PN-9
catalogos_derecho_paso70,CDP070,PN-9
catalogos_derecho_paso71,CDP071,S-1
catalogos_derecho_paso72,CDP072,S-1
catalogos_derecho_paso73,CDP073,S-2
catalogos_derecho_paso74,CDP074,S-2
catalogos_derecho_paso75,CDP075,S-3
catalogos_derecho_paso76,CDP076,S-3
catalogos_derecho_paso77,CDP077,S-5
catalogos_derecho_paso78,CDP078,S-5
catalogos_derecho_paso79,CDP079,S-6
catalogos_derecho_paso80,CDP080,S-6
catalogos_derecho_paso81,CDP081,S-7
catalogos_derecho_paso82,CDP082,S-7
catalogos_derecho_paso83,CDP083,S-8
catalogos_derecho_paso84,CDP084,S-8
catalogos_derecho_paso85,CDP085,S-9
catalogos_derecho_paso86,CDP086,SUR -1=S-4
catalogos_derecho_paso87,CDP087,SUR-1
catalogos_derecho_paso88,CDP088,SUR-2
catalogos_derecho_paso89,CDP089,SUR-2
catalogos_derecho_paso90,CDP090,SUR-3
catalogos_derecho_paso91,CDP091,TVM-1
catalogos_derecho_paso92,CDP092,TVM-1
catalogos_derecho_paso93,CDP093,TVM-10
catalogos_derecho_paso94,CDP094,TVM-10
catalogos_derecho_paso95,CDP095,TVM-11
catalogos_derecho_paso96,CDP096,TVM-11
catalogos_derecho_paso97,CDP097,TVM-12
catalogos_derecho_paso98,CDP098,TVM-12
catalogos_derecho_paso99,CDP099,TVM-13
catalogos_derecho_paso100,CDP100,TVM-13
catalogos_derecho_paso101,CDP101,TVM-14
catalogos_derecho_paso102,CDP102,TVM-2
catalogos_derecho_paso103,CDP103,TVM-2
catalogos_derecho_paso104,CDP104,TVM-3
catalogos_derecho_paso105,CDP105,TVM-3
catalogos_derecho_paso106,CDP106,TVM-4
catalogos_derecho_paso107,CDP107,TVM-4
catalogos_derecho_paso108,CDP108,TVM-5
catalogos_derecho_paso109,CDP109,TVM-5
catalogos_derecho_paso110,CDP110,TVM-6
catalogos_derecho_paso111,CDP111,TVM-6
catalogos_derecho_paso112,CDP112,TVM-7
catalogos_derecho_paso113,CDP113,TVM-7
catalogos_derecho_paso114,CDP114,TVM-8
catalogos_derecho_paso115,CDP115,TVM-8
catalogos_derecho_paso116,CDP116,TVM-9
catalogos_derecho_paso117,CDP117,TVM-9
catalogos_derecho_paso118,CDP118,TEMP-1
catalogos_derecho_paso119,CDP119,TEMP-2
