"id","clave","descripcion"
"catalogos_materiales_peligrosos1","0004","PICRATO DE AMONIO seco o humedecido con menos de 10% en masa de agua"
"catalogos_materiales_peligrosos2","0005","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos3","0006","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos4","0007","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos5","0009","MUNICIONES INCENDIARIAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos6","0010","MUNICIONES INCENDIARIAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos7","0012","CARTUCHOS PARA ARMAS CON PROYECTIL INERTE o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE"
"catalogos_materiales_peligrosos8","0014","CARTUCHOS PARA ARMAS SIN BALA o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE SIN BALA"
"catalogos_materiales_peligrosos9","0015","MUNICIONES FUMIGENAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos10","0016","MUNICIONES FUMIGENAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos11","0018","MUNICIONES LACRIMOGENAS con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos12","0019","MUNICIONES LACRIMOGENAS con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos13","0020","MUNICIONES TOXICAS con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos14","0021","MUNICIONES TOXICAS con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos15","0027","POLVORA NEGRA en forma de granos o de polvo"
"catalogos_materiales_peligrosos16","0028","POLVORA NEGRA COMPRIMIDA o POLVORA NEGRA EN COMPRIMIDOS"
"catalogos_materiales_peligrosos17","0029","DETONADORES NO ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos18","0030","DETONADORES ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos19","0033","BOMBAS con carga explosiva"
"catalogos_materiales_peligrosos20","0034","BOMBAS con carga explosiva"
"catalogos_materiales_peligrosos21","0035","BOMBAS con carga explosiva"
"catalogos_materiales_peligrosos22","0037","BOMBAS DE ILUMINACION PARA FOTOGRAFIA"
"catalogos_materiales_peligrosos23","0038","BOMBAS DE ILUMINACION PARA FOTOGRAFIA"
"catalogos_materiales_peligrosos24","0039","BOMBAS DE ILUMINACION PARA FOTOGRAFIA"
"catalogos_materiales_peligrosos25","0042","PETARDOS sin detonador"
"catalogos_materiales_peligrosos26","0043","DETONADORES CON EXPLOSIVO"
"catalogos_materiales_peligrosos27","0044","CEBOS TIPO CAPSULA"
"catalogos_materiales_peligrosos28","0048","CARGAS DE DEMOLICION"
"catalogos_materiales_peligrosos29","0049","CARTUCHOS FULGURANTES"
"catalogos_materiales_peligrosos30","0050","CARTUCHOS FULGURANTES"
"catalogos_materiales_peligrosos31","0054","CARTUCHOS DE SEÑALES"
"catalogos_materiales_peligrosos32","0055","CARTUCHOS VACIOS CEBADOS(CON FULMINANTE)"
"catalogos_materiales_peligrosos33","0056","CARGAS DE PROFUNDIDAD"
"catalogos_materiales_peligrosos34","0059","CARGAS HUECAS sin detonador"
"catalogos_materiales_peligrosos35","0060","CARGAS EXPLOSIVAS PARA PETARDOS MULTIPLICADORES "
"catalogos_materiales_peligrosos36","0065","MECHA DETONANTE flexible"
"catalogos_materiales_peligrosos37","0066","MECHA DE ENCENDIDO"
"catalogos_materiales_peligrosos38","0070","CIZALLAS CORTACABLES CON CARGA EXPLOSIVA"
"catalogos_materiales_peligrosos39","0072","CICLOTRIMETILENTRINITRAMINA (CICLONITA; RDX; HEXOGENO) HUMEDECIDA con no menos de 15% en masa de agua"
"catalogos_materiales_peligrosos40","0073","DETONADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos41","0074","DIAZODINITROFENOL HUMEDECIDO con no menos de 40% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos42","0075","DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con no menos de 25% en masa inhibidor no volátil insoluble en agua"
"catalogos_materiales_peligrosos43","0076","DINITROFENOL seco o humedecido con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos44","0077","DINITROFENOLATOS de metales alcalinos secos o humedecidos con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos45","0078","DINITRORRESORCINOL seco o humedecido con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos46","0079","HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO)"
"catalogos_materiales_peligrosos47","0081","EXPLOSIVOS PARA VOLADURAS TIPO A"
"catalogos_materiales_peligrosos48","0082","EXPLOSIVOS PARA VOLADURAS TIPO B"
"catalogos_materiales_peligrosos49","0083","EXPLOSIVOS PARA VOLADURAS TIPO C"
"catalogos_materiales_peligrosos50","0084","EXPLOSIVOS PARA VOLADURAS TIPO D"
"catalogos_materiales_peligrosos51","0092","BENGALAS DE SUPERFICIE"
"catalogos_materiales_peligrosos52","0093","BENGALAS AEREAS"
"catalogos_materiales_peligrosos53","0094","POLVORA DE DESTELLOS"
"catalogos_materiales_peligrosos54","0099","CARTUCHOS DE AGRIETAMIENTO EXPLOSIVOS sin detonador para pozos de petróleo"
"catalogos_materiales_peligrosos55","0101","MECHA NO DETONANTE"
"catalogos_materiales_peligrosos56","0102","MECHA DETONANTE con recubrimiento metálico"
"catalogos_materiales_peligrosos57","0103","MECHA DE IGNICION o INFLAMACION tubular con recubrimiento metálico"
"catalogos_materiales_peligrosos58","0104","MECHA DETONANTE DE EFECTO REDUCIDO con recubrimiento metálico"
"catalogos_materiales_peligrosos59","0105","MECHA DE SEGURIDAD  (MECHA LENTA O MECHA BICKFORD)"
"catalogos_materiales_peligrosos60","0106","ESPOLETA DETONANTE"
"catalogos_materiales_peligrosos61","0107","ESPOLETA DETONANTE"
"catalogos_materiales_peligrosos62","0110","GRANADAS PARA PRACTICAS de mano o de fusil"
"catalogos_materiales_peligrosos63","0113","GUANILNITROSAMINO-GUANILIDENHIDRACINA HUMEDECIDA con no menos de 30% en masa de agua"
"catalogos_materiales_peligrosos64","0114","GUANILNITROSAMINOGUANILTETRACENO (TETRACENO) HUMEDECIDO con no menos de 30% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos65","0118","HEXOLITA (HEXOTOL) seca o humedecida con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos66","0121","INICIADORES"
"catalogos_materiales_peligrosos67","0124","DISPOSITIVOS PORTADORES DE CARGAS HUECAS CARGADOS para perforación de pozos de petróleo sin detonador "
"catalogos_materiales_peligrosos68","0129","AZIDA DE PLOMO HUMEDECIDA con no menos de 20% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos69","0130","ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con no menos de 20% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos70","0131","ENCENDEDORES PARA MECHA DE SEGURIDAD"
"catalogos_materiales_peligrosos71","0132","SALES METALICAS DEFLAGRANTES DE NITRO-DERIVADOS AROMATICOS N.E.P"
"catalogos_materiales_peligrosos72","0133","HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con no menos de 40% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos73","0135","FULMINATO DE MERCURIO HUMEDECIDO con no menos de 20% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos74","0136","MINAS con carga explosiva"
"catalogos_materiales_peligrosos75","0137","MINAS con carga explosiva"
"catalogos_materiales_peligrosos76","0138","MINAS con carga explosiva"
"catalogos_materiales_peligrosos77","0143","NITROGLICERINA DESENSIBILIZADA con un mínimo del 40% en masa de inhibidor no volátil insoluble en agua"
"catalogos_materiales_peligrosos78","0144","NITROGLICERINA EN SOLUCION ALCOHOLICA con más de 1% pero no más de 10% de nitroglicerina"
"catalogos_materiales_peligrosos79","0146","NITROALMIDON seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos80","0147","NITROUREA"
"catalogos_materiales_peligrosos81","0150","TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA TNPE) HUMEDECIDO con no menos de 25% en masa de agua o TETRANITRATO DE PENTAERITRITO (TETRANITRATO DE PENTAERITRITOL; TNPE) DESENSIBILIZADO con no menos de 15% en masa de flemador"
"catalogos_materiales_peligrosos82","0151","PENTOLITA seca o humedecida con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos83","0153","TRINITROANILINA (PICRAMIDA)"
"catalogos_materiales_peligrosos84","0154","TRINITROFENOL (ACIDO PICRICO) seco o humedecido con menos de 30% en masa de agua"
"catalogos_materiales_peligrosos85","0155","TRINITROCLOROBENCENO (CLORURO DE PICRILO)"
"catalogos_materiales_peligrosos86","0159","PASTA DE POLVORA HUMEDECIDA con no menos de 25% en masa de agua"
"catalogos_materiales_peligrosos87","0160","POLVORA SIN HUMO"
"catalogos_materiales_peligrosos88","0161","POLVORA SIN HUMO"
"catalogos_materiales_peligrosos89","0167","PROYECTILES con carga explosiva"
"catalogos_materiales_peligrosos90","0168","PROYECTILES con carga explosiva"
"catalogos_materiales_peligrosos91","0169","PROYECTILES con carga explosiva"
"catalogos_materiales_peligrosos92","0171","MUNICIONES DE ILUMINACION con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos93","0173","DISPOSITIVOS EXPLOSIVOS DE LIBERACION"
"catalogos_materiales_peligrosos94","0174","REMACHES EXPLOSIVOS"
"catalogos_materiales_peligrosos95","0180","COHETES con carga explosiva"
"catalogos_materiales_peligrosos96","0181","COHETES con carga explosiva"
"catalogos_materiales_peligrosos97","0182","COHETES con carga explosiva"
"catalogos_materiales_peligrosos98","0183","COHETES con cabeza inerte"
"catalogos_materiales_peligrosos99","0186","MOTORES DE COHETE"
"catalogos_materiales_peligrosos100","0190","MUESTRAS DE EXPLOSIVOS excepto los explosivos iniciadores"
"catalogos_materiales_peligrosos101","0191","ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES"
"catalogos_materiales_peligrosos102","0192","PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL "
"catalogos_materiales_peligrosos103","0193","PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL"
"catalogos_materiales_peligrosos104","0194","SEÑALES DE SOCORRO para barcos"
"catalogos_materiales_peligrosos105","0195","SEÑALES DE SOCORRO para barcos"
"catalogos_materiales_peligrosos106","0196","SEÑALES FUMIGENAS"
"catalogos_materiales_peligrosos107","0197","SEÑALES FUMIGENAS"
"catalogos_materiales_peligrosos108","0204","CARGAS EXPLOSIVAS PARA SONDEOS"
"catalogos_materiales_peligrosos109","0207","TETRANITROANILINA"
"catalogos_materiales_peligrosos110","0208","TRINITROFENILMETILNITRAMINA (TETRILO)"
"catalogos_materiales_peligrosos111","0209","TRINITROTOLUENO (TNT) seco o humedecido con menos de 30% en masa de agua"
"catalogos_materiales_peligrosos112","0212","TRAZADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos113","0213","TRINITROANISOL"
"catalogos_materiales_peligrosos114","0214","TRINITROBENCENO seco o humedecido con menos de 30% en masa de agua"
"catalogos_materiales_peligrosos115","0215","ACIDO TRINITROBENZOICO seco o humedecido con menos de 30% en masa de agua"
"catalogos_materiales_peligrosos116","0216","TRINITRO-m-CRESOL"
"catalogos_materiales_peligrosos117","0217","TRINITRONAFTALENO"
"catalogos_materiales_peligrosos118","0218","TRINITROFENETOL"
"catalogos_materiales_peligrosos119","0219","TRINITRORRESORCINOL  (TRINITRORRESORCINA ACIDO ESTIFNICO) seco o humedecido con menos de 20% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos120","0220","NITRATO DE UREA seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos121","0221","CABEZAS DE COMBATE PARA TORPEDOS con carga explosiva"
"catalogos_materiales_peligrosos122","0222","NITRATO DE AMONIO con más de 02% de materias combustibles incluyendo cualquier substancia orgánica calculada como carbono con la exclusión de cualquier otra substancia añadida"
"catalogos_materiales_peligrosos123","0224","AZIDA DE BARIO seca o humedecida con menos de 50% en masa de agua"
"catalogos_materiales_peligrosos124","0225","PETARDOS MULTIPLICADORES CON DETONADOR"
"catalogos_materiales_peligrosos125","0226","CICLOTETRAMETILENTETRANITRA-MINA (OCTOGENO; HMX) HUMEDECIDA con no menos de 15% en masa de agua"
"catalogos_materiales_peligrosos126","0234","DINITRO-o-CRESOLATO SODICO seco o humedecido con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos127","0235","PICRAMATO DE SODIO seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos128","0236","PICRAMATO DE CIRCONIO seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos129","0237","CARGAS PERFILADAS DE DISEÑO FLEXIBLE ALINEADAS (MECHA DETONANTE PERFILADA FLEXIBLE) "
"catalogos_materiales_peligrosos130","0238","COHETES LANZACABOS"
"catalogos_materiales_peligrosos131","0240","COHETES LANZACABOS"
"catalogos_materiales_peligrosos132","0241","EXPLOSIVOS PARA VOLADURAS TIPO E"
"catalogos_materiales_peligrosos133","0242","CARGAS PROPULSORAS DE ARTILLERIA"
