id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_tablas_cfdi,tablas_cfdi,nomina_cfdi.model_tablas_cfdi,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi2,tablas_cfdi2,nomina_cfdi.model_tablas_general_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi3,tablas_cfdi3,nomina_cfdi.model_tablas_subsidio_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi4,tablas_cfdi4,nomina_cfdi.model_tablas_subsidio2_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi5,tablas_cfdi5,nomina_cfdi.model_tablas_subsidioacreditable_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi6,tablas_cfdi6,nomina_cfdi.model_tablas_antiguedades_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi7,otras_entradas,nomina_cfdi.model_otras_entradas,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi8,access_hr_payslip_mail,nomina_cfdi.model_hr_payslip_mail,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi9,tablas_cfdi9,nomina_cfdi.model_tablas_periodo_bimestral,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi10,tablas_cfdi10,nomina_cfdi.model_tablas_periodo_mensual,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi12,tablas_cfdi12,nomina_cfdi.model_tablas_isr_anual,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi13,tablas_cfdi13,nomina_cfdi.model_tablas_vacaciones_line,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi14,tablas_cfdi14,nomina_cfdi.model_horas_nomina,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi15,tablas_cfdi15,nomina_cfdi.model_tablas_periodo_semanal,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi16,tablas_cfdi16,nomina_cfdi.model_configuracion_nomina,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi17,tablas_cfdi17,nomina_cfdi.model_nomina_deduccion,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi18,tablas_cfdi18,nomina_cfdi.model_nomina_percepcion,om_hr_payroll.group_hr_payroll_user,1,1,1,1
access_tablas_cfdi19,tablas_cfdi19,nomina_cfdi.model_nomina_otropago,om_hr_payroll.group_hr_payroll_user,1,1,1,1

